T66: Car appeared at 47490, driving for 12 mins to 47500
T66: Car appeared at 47607, not in range
T66: Car appeared at 47633, not in range
T66: Car appeared at 47643, not in range
T66: Car appeared at 47673, not in range
T66: Car left station 47500
T67: Car appeared at 47604, not in range
T67: Car appeared at 47610, not in range
T67: Car appeared at 47612, not in range
T67: Car appeared at 47663, not in range
T67: Car appeared at 47673, not in range
T67: Car appeared at 47689, not in range
T67: Car appeared at 47695, not in range
T67: Car appeared at 47910, not in range
T68: Car appeared at 47560, not in range
T68: Car appeared at 47612, not in range
T68: Car appeared at 47614, not in range
T68: Car appeared at 47685, not in range
T69: Car left station 47500
T70: Car appeared at 47390, not in range
T70: Car appeared at 47460, not in range
T70: Car appeared at 47494, driving for 7 mins to 47500
T70: Car appeared at 47575, not in range
T70: Car appeared at 47580, not in range
T70: Car appeared at 47663, not in range
T71: Car appeared at 47530, driving for 18 mins to 47500
T71: Car appeared at 47625, not in range
T71: Car appeared at 47695, not in range
T71: Car appeared at 47770, not in range
T71: Car from 47530 arrived at station 47500 and entered queue
T71: Car from 47530 began charging at station 47500 for 25 minutes
T72: Car appeared at 47534, driving for 21 mins to 47500
T72: Car appeared at 47612, not in range
T72: Car appeared at 47622, not in range
T72: Car appeared at 47689, not in range
T72: Car appeared at 47730, not in range
T73: Car appeared at 47633, not in range
T73: Car appeared at 47643, not in range
T73: Car appeared at 47720, not in range
T73: Car appeared at 47760, not in range
T74: Car appeared at 47430, not in range
T74: Car appeared at 47671, not in range
T74: Car appeared at 47700, not in range
T75: Car appeared at 47560, not in range
T75: Car appeared at 47624, not in range
T75: Car appeared at 47672, not in range
T75: Car from 47487 arrived at station 47500 and entered queue
T75: Car from 47487 began charging at station 47500 for 28 minutes
T76: Car appeared at 47584, not in range
T76: Car appeared at 47689, not in range
T77: Car appeared at 47584, not in range
T77: Car appeared at 47596, not in range
T77: Car appeared at 47612, not in range
T77: Car appeared at 47622, not in range
T77: Car appeared at 47633, not in range
T77: Car appeared at 47673, not in range
T77: Car appeared at 47720, not in range
T77: Car appeared at 47796, not in range
T77: Car from 47494 arrived at station 47500 and entered queue
T77: Car from 47494 began charging at station 47500 for 11 minutes
T78: Car appeared at 47380, not in range
T78: Car appeared at 47484, driving for 17 mins to 47500
T78: Car appeared at 47633, not in range
T78: Car appeared at 47663, not in range
T78: Car appeared at 47667, not in range
T78: Car appeared at 47740, not in range
T78: Car appeared at 47784, not in range
