LHRS,Offset,Year,Hwy No,Hwy Letter,Hwy Type,Location Description,Station #,Region,Sec Len,Con Link Len,Secondary Description,PDCS #,Pattern,DHV %,Design Hr. Dir Split %,Design Hr. Dir Split Higher Volume Direction,AADT,SADT,SAWDT,WADT,Truck %,Truck AADT,Alpha Code,Count Code,cost 1,cost 2,cost 3,Latitude,Longitude
47460,0,2019,401,,FWY,SHANNONVILLE RD IC-556 CTY RD 7,250,EAST,12.51,0,,9,CTR,12,52,N/A,36300,48400,48200,29500,25,9200,T,1,35000,56000,70000,44.219847,-77.242701
47470,0,2019,401,,FWY,HWY 37 IC-544 CANNIFTON RD,255,EAST,0.69,0,,32,IR,11,54,N/A,47400,58600,58400,40500,30,14200,T,1,35000,56000,70000,44.19464,-77.38925
47480,0,2019,401,,FWY,HWY 62 UP IC-543,260,EAST,4.17,0,,9,CTR,12,50,N/A,42900,57200,56900,34900,25,10600,T,1,35000,56000,70000,44.192003,-77.399321
47484,0,2019,401,,FWY,WALLBRIDGE LOYALIST RD IC-538 HASTINGS RD 1,262,EAST,12.15,0,,9,CTR,12,52,N/A,42900,57200,56900,34900,24,10300,T,1,35000,56000,70000,44.179772,-77.447336
47487,0,2019,401,,FWY,GLEN MILLER RD IC-526 HASTINGS RD 4,263,EAST,1.05,0,,9,CTR,12,54,N/A,47100,62800,62500,38300,30,14000,T,1,35000,56000,70000,44.132724,-77.583033
47490,0,2019,401,,FWY,QUINTE WEST RD 33 IC-525,265,EAST,3.13,0,,90,C,6,51,N/A,38600,42200,41900,34900,35,13500,T,1,35000,56000,70000,44.127686,-77.594012
47494,0,2019,401,,FWY,WOOLER RD IC-522 CTY RD 40,270,EAST,12.44,0,,9,CTR,12,54,N/A,36200,48200,48000,29500,26,9500,T,1,35000,56000,70000,44.118167,-77.628802
47500,0,2019,401,,FWY,NORTHUMBERLAND CTY RD 30 IC-509,275,EAST,12.44,0,,9,CTR,12,53,N/A,39600,52800,52500,32200,27,10600,T,1,35000,56000,70000,44.074751,-77.768993
47510,0,2019,401,,FWY,PERCY ST IC-497 CTY RD 25 BIG APPLE DRIVE,280,EAST,10.23,0,,9,CTR,12,53,N/A,39500,52600,52400,32100,23,8950,T,1,35000,56000,70000,44.024126,-77.902677
47520,0,2019,401,,FWY,LYLE ST IC-487 CTY RD 23,285,EAST,12.5,0,,9,CTR,12,53,N/A,43900,58500,58200,35700,22,9650,T,1,35000,56000,70000,44.003994,-78.026666
47530,0,2019,401,,FWY,HWY 45 IC-474 COBOURG DIVISION ST COBOURG,290,EAST,2.03,0,,9,CTR,12,58,N/A,44700,59600,59300,36400,35,15600,T,1,35000,56000,70000,43.986633,-78.172087
47534,0,2019,401,,FWY,BURNHAM ST IC-472 CTY RD 18 COBOURG,295,EAST,7.79,0,,9,CTR,12,52,N/A,51200,68200,67900,41700,19,9800,T,1,35000,56000,70000,43.980086,-78.196323
47540,0,2019,401,,FWY,NORTHUMBERLAND CTY RD 28 ONTARIO ST IC-464,310,EAST,3.43,0,,9,CTR,12,53,N/A,51500,68600,68300,41900,20,10500,T,1,35000,56000,70000,43.969998,-78.289167
47550,0,2019,401,,FWY,NORTHUMBERLAND CTY RD 2 TORONTO RD IC-461,313,EAST,4.74,0,,9,CTR,12,54,N/A,52800,70300,70000,43000,21,11100,T,1,35000,56000,70000,43.966001,-78.331003
47555,0,2019,401,,FWY,WESLEYVILLE RD IC-456,315,EAST,5.2,0,,32,IR,11,64,N/A,51900,64100,63900,44300,22,11400,T,1,35000,56000,70000,43.953739,-78.387615
47558,0,2019,401,,FWY,BANCROFT TORONTO MTO DIST BDY,317,CENTRAL,3.287,0,,32,IR,11,64,N/A,51900,64100,63900,44300,22,11400,T,1,35000,56000,70000,43.944111,-78.431295
47560,0,2019,401,,FWY,NEWTONVILLE RD IC-448 REG RD 18,320,CENTRAL,7.993,0,,91,IR,11,56,N/A,57700,70200,69800,49200,19,11000,T,1,35000,56000,70000,43.931238,-78.48878
47566,0,2019,401,,FWY,MILL ST IC-440 REG RD 17 NEWCASTLE,325,CENTRAL,3.246,0,,37,CR,8,66,N/A,63300,73400,73900,56800,17,10700,T,1,35000,56000,70000,43.910713,-78.585618
47570,0,2019,401,,FWY,HWYS 35/115 IC-436 NEWCASTLE,327,CENTRAL,1.484,0,,91,IR,11,55,N/A,85700,104200,103700,73000,15,12900,T,1,35000,56000,70000,43.903049,-78.625245
47573,0,2019,401,,FWY,BENNETT RD IC-435 NEWCASTLE,330,CENTRAL,2.505,0,,37,CR,8,55,N/A,85800,99500,100200,77000,16,13700,T,1,35000,56000,70000,43.901766,-78.643951
47575,0,2019,401,,FWY,LIBERTY ST IC-432 REG RD 14 BOWMANVILLE,331,CENTRAL,1.232,0,,9,CTR,12,55,N/A,89500,119200,118700,72800,14,12500,T,1,35000,56000,70000,43.898581,-78.676144
47577,0,2019,401,,FWY,WAVERLEY RD IC-431 NEWCASTLE,332,CENTRAL,2.928,0,,37,CR,8,78,N/A,92800,107700,108400,83300,22,20400,T,1,35000,56000,70000,43.894551,-78.689611
47578,0,2019,401,,FWY,HOLT RD IC-428 NEWCASTLE,333,CENTRAL,3.296,0,,37,CR,8,56,N/A,110200,127900,128700,98900,17,18700,T,1,35000,56000,70000,43.884139,-78.722279
47580,0,2019,401,,FWY,COURTICE RD IC-425 REG RD 34 NEWCASTLE,335,CENTRAL,5.565,0,,90,C,6,68,N/A,114500,125200,124400,103600,15,17200,T,1,35000,56000,70000,43.878746,-78.763589
47584,0,2019,401,,FWY,BLOOR ST/HARMONY RD IC-419 REG RD 33,337,CENTRAL,1.415,0,,43,IR,9,56,N/A,130200,147500,148700,113200,12,15600,T,1,35000,56000,70000,43.887119,-78.826675
47587,0,2019,401,,FWY,RITSON RD IC-418 REG RD 16 OSHAWA,338,CENTRAL,0.811,0,,90,C,6,55,N/A,134100,146600,145700,121400,12,16100,M,4,35000,56000,70000,43.883766,-78.846518
47590,0,2019,401,,FWY,SIMCOE ST IC-417 REG RD 2 OSHAWA,339,CENTRAL,1.652,0,,74,UC,9,55,N/A,140000,137900,140100,134900,11,15400,T,1,35000,56000,70000,43.881468,-78.856301
47594,0,2019,401,,FWY,STEVENSON RD IC-415 OSHAWA,340,CENTRAL,2.49,0,,74,UC,9,63,N/A,133300,131300,133400,128400,15,20000,T,1,35000,56000,70000,43.876507,-78.87598
47596,0,2019,401,,FWY,THICKSON RD IC-412 REG RD 26 WHITBY,341,CENTRAL,2.545,0,,74,UC,9,52,N/A,157100,154800,157200,151400,13,19800,T,1,35000,56000,70000,43.869345,-78.905026
47598,0,2019,401,,FWY,HWY 12 IC-410 BROCK ST WHITBY,345,CENTRAL,6.275,0,,74,UC,9,50,N/A,174200,171600,174300,167800,6,10500,T,1,35000,56000,70000,43.866315,-78.936186
47602,0,2019,401,,FWY,SALEM RD IC-404,346,CENTRAL,2.287,0,,74,UC,9,62,N/A,212800,209700,212900,205000,11,23400,T,1,35000,56000,70000,43.855685,-79.011934
47604,0,2019,401,,FWY,WESTNEY RD IC-401,349,CENTRAL,2.647,0,,90,C,6,60,N/A,202400,221200,219900,183200,11,22300,T,1,35000,56000,70000,43.849195,-79.04052
47607,0,2019,401,,FWY,BROCK RD IC-399 REG RD 1 PICKERING,352,CENTRAL,1.708,0,,22,SC,6,63,N/A,246900,262100,260500,218200,12,29600,T,1,35000,56000,70000,43.839085,-79.070721
47610,0,2019,401,,FWY,LIVERPOOL RD IC-397 REG RD 29 PICKERING,355,CENTRAL,2.592,0,,90,C,6,54,N/A,247300,270300,268700,223800,12,29700,T,1,35000,56000,70000,43.830682,-79.088726
47612,0,2019,401,,FWY,WHITES RD IC-394 REG RD 38 PICKERING,370,CENTRAL,3.711,0,,90,C,6,57,N/A,259600,283800,282100,235000,3,7800,T,1,35000,56000,70000,43.81668,-79.114618
47614,0,2019,401,,FWY,401 HWY 2 KINGSTON RD IC-392,412,CENTRAL,1.326,0,,90,C,6,59,N/A,259300,283400,281700,234700,10,25900,T,1,35000,56000,70000,43.795607,-79.151657
47622,0,2019,401,,FWY,MEADOWVALE RD IC-389 SCARBOROUGH,415,CENTRAL,2.492,0,,90,C,6,52,N/A,261800,286200,284400,237000,10,26200,T,1,35000,56000,70000,43.799637,-79.166459
47624,0,2019,401,,FWY,MORNINGSIDE AV IC-387 SCARBOROUGH,417,CENTRAL,1.524,0,,74,UC,9,57,N/A,298900,294500,299000,288000,10,29900,T,1,35000,56000,70000,43.796539,-79.19708
47625,0,2019,401,,FWY,NEILSON RD IC-385,420,CENTRAL,1.799,0,,90,C,6,57,N/A,303600,331900,329900,274800,8,24300,T,1,35000,56000,70000,43.793732,-79.215759
47626,0,2019,401,,FWY,HWY 48 IC-383 MARKHAM RD SCARBOROUGH,423,CENTRAL,1.639,0,,9,CTR,12,60,N/A,295400,393600,391900,240400,5,14800,T,1,35000,56000,70000,43.785394,-79.235322
47627,0,2019,401,,FWY,MCCOWAN RD IC-381 SCARBOROUGH,425,CENTRAL,0.808,0,,74,UC,9,59,N/A,335800,330900,335900,323600,3,10100,T,1,35000,56000,70000,43.781183,-79.255062
